"Function Stack","CPU Time: Total","CPU Time: Self","Module","Function (Full)","Source File","Start Address"
"                   btf_l_strongcomp","0.0200011","0","libbtf.so.1","btf_l_strongcomp","btf_strongcomp.c","0x1ea0"
"                    dfs","0.0200011","0.0200011","libbtf.so.1","dfs","btf_strongcomp.c","0x1f69"
"                 klu_l_factor","0.180001","0","libklu.so.1","klu_l_factor","klu_factor.c","0x180f0"
"                  factor2","0.180001","0.0100089","libklu.so.1","factor2","klu_factor.c","0x184fb"
"                   klu_l_kernel_factor","0.159987","0","libklu.so.1","klu_l_kernel_factor","klu.c","0x15f80"
"                    klu_l_kernel","0.159987","0","libklu.so.1","klu_l_kernel","klu_kernel.c","0x18f60"
"                     lsolve_symbolic","0.0599819","0.019989","libklu.so.1","lsolve_symbolic","klu_kernel.c","0x193a5"
"                      dfs","0.0399929","0.0399929","libklu.so.1","dfs","klu_kernel.c","0x1945d"
"                     lsolve_numeric","0.0500025","0.0500025","libklu.so.1","lsolve_numeric","klu_kernel.c","0x1963f"
"                     lpivot","0.0399995","0.0399995","libklu.so.1","lpivot","klu_kernel.c","0x19183"
"                     prune","0.0100033","0.0100033","libklu.so.1","prune","klu_kernel.c","0x198ca"
"                   klu_l_scale","0.0100046","0","libklu.so.1","klu_l_scale","klu_scale.c","0x1a7e0"
"                    __memset_avx2_unaligned_erms","0.0100046","0.0100046","libc.so.6","__memset_avx2_unaligned_erms","memset-vec-unaligned-erms.S","0x1a1000"
"                DYN::SolverKINEuler::evalJ_KIN","0.261779","0","libdynawo_SolverKINSOL.so.1","DYN::SolverKINEuler::evalJ_KIN(_generic_N_Vector*, _generic_N_Vector*, _generic_SUNMatrix*, void*, _generic_N_Vector*, _generic_N_Vector*)","DYNSolverKINEuler.cpp","0x9ed6"
"                 DYN::ModelMulti::evalJt","0.24998","0","libdynawo_ModelerCommon.so.1","DYN::ModelMulti::evalJt(double, double, DYN::SparseMatrix&)","DYNModelMulti.cpp","0x41c0e"
"                  DYN::SubModel::evalJtSub","0.24998","0","libdynawo_ModelerCommon.so.1","DYN::SubModel::evalJtSub(double, double, int&, DYN::SparseMatrix&)","DYNSubModel.cpp","0x84d30"
"                   DYN::ModelNetwork::evalJt","0.169989","0.0100005","DYNModelNetwork.so","DYN::ModelNetwork::evalJt(double, double, int, DYN::SparseMatrix&)","[Unknown]","0xb6c50"
"                    DYN::ModelVoltageLevel::evalDerivatives","0.0599922","0","DYNModelNetwork.so","DYN::ModelVoltageLevel::evalDerivatives(double)","[Unknown]","0xdb1c0"
"                     DYN::ModelSwitch::evalDerivatives","0.0599922","0.010006","DYNModelNetwork.so","DYN::ModelSwitch::evalDerivatives(double)","[Unknown]","0x74320"
"                      DYN::BusDerivatives::addDerivative","0.0499861","0","DYNModelNetwork.so","DYN::BusDerivatives::addDerivative(DYN::typeDerivative_t, int, double)","[Unknown]","0x53880"
"                       DYN::Derivatives::addValue","0.0499861","0.0100067","DYNModelNetwork.so","DYN::Derivatives::addValue(int, double)","[Unknown]","0x53790"
"                        operator new","0.019977","0.019977","libstdc++.so.6","operator new(unsigned long)","[Unknown]","0xae970"
"                        std::_Rb_tree_insert_and_rebalance","0.010009","0.010009","libstdc++.so.6","std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)","[Unknown]","0xc6700"
"                        std::_Rb_tree<int, std::pair<int const, double>, std::_Select1st<std::pair<int const, double>>, std::less<int>, std::allocator<std::pair<int const, double>>>::_M_get_insert_hint_unique_pos","0.00999343","0.00999343","DYNModelNetwork.so","std::_Rb_tree<int, std::pair<int const, double>, std::_Select1st<std::pair<int const, double>>, std::less<int>, std::allocator<std::pair<int const, double>>>::_M_get_insert_hint_unique_pos(std::_Rb_tree_const_iterator<std::pair<int const, double>>, int const&)","[Unknown]","0x543f0"
"                    DYN::ModelVoltageLevel::evalJt","0.040002","0.0100078","DYNModelNetwork.so","DYN::ModelVoltageLevel::evalJt(double, int, DYN::SparseMatrix&)","[Unknown]","0xdb200"
"                     DYN::ModelBus::evalJt","0.0199983","0","DYNModelNetwork.so","DYN::ModelBus::evalJt(double, int, DYN::SparseMatrix&)","[Unknown]","0x5fb60"
"                      std::_Rb_tree_increment","0.00999948","0.00999948","libstdc++.so.6","std::_Rb_tree_increment(std::_Rb_tree_node_base const*)","[Unknown]","0xc6530"
"                      DYN::SparseMatrix::addTerm","0.00999879","0","libdynawo_Common.so.1","DYN::SparseMatrix::addTerm(int, double)","DYNSparseMatrix.cpp","0x6ec10"
"                       doubleIsZero","0.00999879","0.00999879","libdynawo_Common.so.1","doubleIsZero","DYNCommon.h","0x6ec14"
"                     DYN::ModelLoad::evalJt","0.00999591","0","DYNModelNetwork.so","DYN::ModelLoad::evalJt(double, int, DYN::SparseMatrix&)","[Unknown]","0x8d7e0"
"                      DYN::ModelLoad::zQ","0.00999591","0.00999591","DYNModelNetwork.so","DYN::ModelLoad::zQ(void) const","[Unknown]","0x89480"
"                    DYN::ModelBusContainer::initDerivatives","0.039993","0","DYNModelNetwork.so","DYN::ModelBusContainer::initDerivatives(void)","[Unknown]","0x62010"
"                     DYN::ModelBus::initDerivatives","0.039993","0","DYNModelNetwork.so","DYN::ModelBus::initDerivatives(void)","[Unknown]","0x61fe0"
"                      DYN::BusDerivatives::reset","0.0199976","0","DYNModelNetwork.so","DYN::BusDerivatives::reset(void)","[Unknown]","0x53770"
"                       DYN::Derivatives::reset","0.0199976","0.0100059","DYNModelNetwork.so","DYN::Derivatives::reset(void)","[Unknown]","0x53710"
"                        std::_Rb_tree<int, std::pair<int const, double>, std::_Select1st<std::pair<int const, double>>, std::less<int>, std::allocator<std::pair<int const, double>>>::_M_erase.isra.0","0.00999163","0.00999163","DYNModelNetwork.so","std::_Rb_tree<int, std::pair<int const, double>, std::_Select1st<std::pair<int const, double>>, std::less<int>, std::allocator<std::pair<int const, double>>>::_M_erase(std::_Rb_tree_node<std::pair<int const, double>>*).isra.0","[Unknown]","0x53560"
"                      DYN::Derivatives::reset","0.0199954","0.0100012","DYNModelNetwork.so","DYN::Derivatives::reset(void)","[Unknown]","0x53710"
"                       __GI___libc_free","0.00999426","0.00999426","libc.so.6","__GI___libc_free","malloc.c","0xa53e0"
"                    DYN::ModelLine::evalDerivatives","0.0100058","0","DYNModelNetwork.so","DYN::ModelLine::evalDerivatives(double)","[Unknown]","0x7a160"
"                     DYN::BusDerivatives::addDerivative","0.0100058","0","DYNModelNetwork.so","DYN::BusDerivatives::addDerivative(DYN::typeDerivative_t, int, double)","[Unknown]","0x53880"
"                      DYN::Derivatives::addValue","0.0100058","0","DYNModelNetwork.so","DYN::Derivatives::addValue(int, double)","[Unknown]","0x53790"
"                       operator new","0.0100058","0.0100058","libstdc++.so.6","operator new(unsigned long)","[Unknown]","0xae970"
"                    DYN::ModelTwoWindingsTransformer::evalDerivatives","0.00999589","0","DYNModelNetwork.so","DYN::ModelTwoWindingsTransformer::evalDerivatives(double)","[Unknown]","0x9ee70"
"                     DYN::BusDerivatives::addDerivative","0.00999589","0","DYNModelNetwork.so","DYN::BusDerivatives::addDerivative(DYN::typeDerivative_t, int, double)","[Unknown]","0x53880"
"                      DYN::Derivatives::addValue","0.00999589","0","DYNModelNetwork.so","DYN::Derivatives::addValue(int, double)","[Unknown]","0x53790"
"                       operator new","0.00999589","0.00999589","libstdc++.so.6","operator new(unsigned long)","[Unknown]","0xae970"
"                   DYN::ModelManager::evalJtAdept","0.0799909","0","libdynawo_ModelManager.so.1","DYN::ModelManager::evalJtAdept(double, double*, double*, double, DYN::SparseMatrix&, int, bool)","new_allocator.h","0x2c6ec"
"                    adept::Stack::jacobian","0.0699909","0","libdynawo_ModelManager.so.1","adept::Stack::jacobian(double*, int, int) const","Stack.h","0x3913b"
"                     adept::Stack::jacobian_reverse","0.0699909","0.00999725","libadept.so.0","adept::Stack::jacobian_reverse(double*, int, int) const","[Unknown]","0x6c3fc"
"                      adept::Block<(int)2, double>::zero","0.0399942","0.0399942","libadept.so.0","adept::Block<(int)2, double>::zero(void)","[Unknown]","0x6e248"
"                      adept::Block<(int)2, double>::operator[]","0.01","0.01","libadept.so.0","adept::Block<(int)2, double>::operator[](int)","[Unknown]","0x6df7c"
"                      func@0x65700","0.0099995","0.0099995","libadept.so.0","func@0x65700","[Unknown]","0x65700"
"                    DYN::ModelGeneratorSynchronousThreeWindingsProportionalRegulationsRpclUva_Dyn::evalFAdept","0.01","0","GeneratorSynchronousThreeWindingsProportionalRegulationsRpclUva.so","DYN::ModelGeneratorSynchronousThreeWindingsProportionalRegulationsRpclUva_Dyn::evalFAdept(std::vector<adept::Active<double>, std::allocator<adept::Active<double>>> const&, std::vector<adept::Active<double>, std::allocator<adept::Active<double>>> const&, std::vector<adept::Active<double>, std::allocator<adept::Active<double>>>&)","[Unknown]","0x33d10"
"                     adept::Active<double>::operator=<double, adept::internal::BinaryOperation<double, adept::Active<double>, adept::internal::Subtract, adept::Active<double>>>","0.01","0.01","GeneratorSynchronousThreeWindingsProportionalRegulationsRpclUva.so","adept::Active<double>::operator=<double, adept::internal::BinaryOperation<double, adept::Active<double>, adept::internal::Subtract, adept::Active<double>>>(adept::Expression<double, adept::internal::BinaryOperation<double, adept::Active<double>, adept::internal::Subtract, adept::Active<double>>> const&)","[Unknown]","0x654e0"
"                 DYN::SolverCommon::propagateMatrixStructureChangeToKINSOL","0.0117986","0","libdynawo_SolverCommon.so.1","DYN::SolverCommon::propagateMatrixStructureChangeToKINSOL(DYN::SparseMatrix const&, _generic_SUNMatrix*&, int const&, long**, _generic_SUNLinearSolver*&, bool)","DYNSolverCommon.cpp","0x1691a"
"                  SUNLinSol_KLUReInit","0.0117986","0","libsundials_sunlinsolklu.so.4.3.0","SUNLinSol_KLUReInit","sunlinsol_klu.c","0x75f0"
"                   klu_l_free_numeric","0.0117986","0","libklu.so.1","klu_l_free_numeric","klu_free_numeric.c","0x18d20"
"                    klu_l_free","0.0117986","0","libklu.so.1","klu_l_free","klu_memory.c","0x2ad00"
"                     SuiteSparse_free","0.0117986","0","libsuitesparseconfig.so.5","SuiteSparse_free","SuiteSparse_config.c","0x16b0"
"                      __GI___libc_free","0.0117986","0.0117986","libc.so.6","__GI___libc_free","malloc.c","0xa53e0"
"               kinLsSolve","0.00999414","0","libsundials_kinsol.so.6","kinLsSolve","kinsol_ls.c","0x15df0"
"                SUNLinSolSolve_KLU","0.00999414","0","libsundials_sunlinsolklu.so.4.3.0","SUNLinSolSolve_KLU","sunlinsol_klu.c","0x7300"
"                 klu_l_tsolve","0.00999414","0","libklu.so.1","klu_l_tsolve","klu_tsolve.c","0x1bb90"
"                  klu_l_utsolve","0.00999414","0.00999414","libklu.so.1","klu_l_utsolve","klu.c","0x16d20"
"              KINFullNewton","0.0699979","0","libsundials_kinsol.so.6","KINFullNewton","kinsol.c","0x10038"
"               DYN::SolverKINEuler::evalF_KIN","0.0499886","0","libdynawo_SolverKINSOL.so.1","DYN::SolverKINEuler::evalF_KIN(_generic_N_Vector*, _generic_N_Vector*, void*)","DYNSolverKINEuler.cpp","0x9e92"
"                DYN::ModelMulti::evalF","0.0499886","0","libdynawo_ModelerCommon.so.1","DYN::ModelMulti::evalF(double, double const*, double const*, double*)","DYNModelMulti.cpp","0x71800"
"                 DYN::ModelNetwork::evalF","0.0499886","0","DYNModelNetwork.so","DYN::ModelNetwork::evalF(double, DYN::propertyF_t)","[Unknown]","0xb6a90"
"                  DYN::ModelVoltageLevel::evalNodeInjection","0.0200015","0.00999915","DYNModelNetwork.so","DYN::ModelVoltageLevel::evalNodeInjection(void)","[Unknown]","0xdb2c0"
"                   DYN::ModelSwitch::evalNodeInjection","0.0100024","0","DYNModelNetwork.so","DYN::ModelSwitch::evalNodeInjection(void)","[Unknown]","0x72d60"
"                    DYN::ModelBus::irAdd","0.0100024","0.0100024","DYNModelNetwork.so","DYN::ModelBus::irAdd(double)","[Unknown]","0x620d0"
"                  DYN::ModelVoltageLevel::evalF","0.0199854","0","DYNModelNetwork.so","DYN::ModelVoltageLevel::evalF(DYN::propertyF_t)","[Unknown]","0xdae70"
"                   DYN::ModelLoad::evalF","0.0199854","0","DYNModelNetwork.so","DYN::ModelLoad::evalF(DYN::propertyF_t)","[Unknown]","0x8cf30"
"                    DYN::ModelLoad::zPPrim","0.0199854","0.0199854","DYNModelNetwork.so","DYN::ModelLoad::zPPrim(void) const","[Unknown]","0x89540"
"                  DYN::ModelLine::evalNodeInjection","0.0100017","0.0100017","DYNModelNetwork.so","DYN::ModelLine::evalNodeInjection(void)","[Unknown]","0x7c2b0"
"               N_VWL2Norm_Serial","0.0200093","0.0200093","libsundials_nvecserial.so.6","N_VWL2Norm_Serial","nvector_serial.c","0x7990"
"            DYN::SolverKINEuler::solve","0.0361809","0","libdynawo_SolverKINSOL.so.1","DYN::SolverKINEuler::solve(bool, bool)","DYNSolverKINEuler.cpp","0xa468"
"             DYN::ModelMulti::evalF","0.0261962","0","libdynawo_ModelerCommon.so.1","DYN::ModelMulti::evalF(double, double const*, double const*, double*)","DYNModelMulti.cpp","0x71800"
"              DYN::ModelNetwork::evalF","0.0261962","0","DYNModelNetwork.so","DYN::ModelNetwork::evalF(double, DYN::propertyF_t)","[Unknown]","0xb6a90"
"               DYN::ModelVoltageLevel::evalF","0.0100152","0","DYNModelNetwork.so","DYN::ModelVoltageLevel::evalF(DYN::propertyF_t)","[Unknown]","0xdae70"
"                DYN::ModelLoad::evalF","0.0100152","0","DYNModelNetwork.so","DYN::ModelLoad::evalF(DYN::propertyF_t)","[Unknown]","0x8cf30"
"                 DYN::pow_dynawo<double>","0.0100152","0.0100152","DYNModelNetwork.so","DYN::pow_dynawo<double>(double, double)","[Unknown]","0x91d30"
"               DYN::ModelVoltageLevel::evalNodeInjection","0.00999489","0.00999489","DYNModelNetwork.so","DYN::ModelVoltageLevel::evalNodeInjection(void)","[Unknown]","0xdb2c0"
"               DYN::ModelBusContainer::resetCurrentUStatus","0.00618614","0","DYNModelNetwork.so","DYN::ModelBusContainer::resetCurrentUStatus(void)","[Unknown]","0x61a10"
"                DYN::BitMask::reset","0.00618614","0","libdynawo_Common.so.1","DYN::BitMask::reset(void)","DYNBitMask.cpp","0x4d550"
"                 DYN::BitMask::unsetFlags","0.00618614","0.00618614","libdynawo_Common.so.1","DYN::BitMask::unsetFlags(unsigned char const&)","DYNBitMask.cpp","0x4d540"
"             std::vector<double, std::allocator<double>>::assign","0.00998463","0.00998463","libdynawo_SolverKINSOL.so.1","std::vector<double, std::allocator<double>>::assign(unsigned long, double const&)","stl_vector.h","0x101b9"
"          DYN::SolverCommonFixedTimeStep::updateZAndMode","0.0300115","0","dynawo_SolverCommonFixedTimeStep.so.1","DYN::SolverCommonFixedTimeStep::updateZAndMode(DYN::SolverCommonFixedTimeStep::SolverStatus_t&)","DYNSolverCommonFixedTimeStep.cpp","0xe7a0"
"           DYN::Solver::Impl::evalZMode","0.020015","0","libdynawo_SolverCommon.so.1","DYN::Solver::Impl::evalZMode(std::vector<int, std::allocator<int>>&, std::vector<int, std::allocator<int>>&, double)","DYNSolverImpl.cpp","0x14a26"
"            DYN::ModelMulti::evalZ","0.0100103","0","libdynawo_ModelerCommon.so.1","DYN::ModelMulti::evalZ(double)","DYNModelMulti.cpp","0x78eb0"
"             DYN::ModelMulti::evalZ","0.0100103","0","libdynawo_ModelerCommon.so.1","DYN::ModelMulti::evalZ(double)","DYNModelMulti.cpp","0x78eec"
"              DYN::ModelNetwork::evalZ","0.0100103","0","DYNModelNetwork.so","DYN::ModelNetwork::evalZ(double)","[Unknown]","0xc3910"
"               DYN::ModelVoltageLevel::evalZ","0.0100103","0.0100103","DYNModelNetwork.so","DYN::ModelVoltageLevel::evalZ(double)","[Unknown]","0xdb040"
"            DYN::ModelMulti::evalMode","0.0100047","0","libdynawo_ModelerCommon.so.1","DYN::ModelMulti::evalMode(double)","DYNModelMulti.cpp","0x422d4"
"             DYN::SubModel::evalModeSub","0.0100047","0","libdynawo_ModelerCommon.so.1","DYN::SubModel::evalModeSub(double)","DYNSubModel.cpp","0x46b60"
"              DYN::ModelNetwork::evalMode","0.0100047","0","DYNModelNetwork.so","DYN::ModelNetwork::evalMode(double)","[Unknown]","0xb6540"
"               DYN::ModelVoltageLevel::evalState","0.0100047","0","DYNModelNetwork.so","DYN::ModelVoltageLevel::evalState(double)","[Unknown]","0xdb0f0"
"                DYN::ModelBus::evalState","0.0100047","0.0100047","DYNModelNetwork.so","DYN::ModelBus::evalState(double)","[Unknown]","0x5fae0"
"           DYN::ModelMulti::evalG","0.00999647","0","libdynawo_ModelerCommon.so.1","DYN::ModelMulti::evalG(double, std::vector<int, std::allocator<int>>&)","DYNModelMulti.cpp","0x71090"
"            DYN::ModelNetwork::evalG","0.00999647","0","DYNModelNetwork.so","DYN::ModelNetwork::evalG(double)","[Unknown]","0xb64f0"
"             DYN::ModelVoltageLevel::evalG","0.00999647","0.00999647","DYNModelNetwork.so","DYN::ModelVoltageLevel::evalG(double)","[Unknown]","0xdb000"
"       DYN::Simulation::checkCriteria","0.0499905","0","libdynawo_Simulation.so.1","DYN::Simulation::checkCriteria(double, bool) const","DYNSimulation.cpp","0x2b900"
"        DYN::ComponentInterface::updateFromModel","0.0499905","0","libdynawo_DataInterface.so.1","DYN::ComponentInterface::updateFromModel(bool)","DYNComponentInterface.cpp","0xf452"
"         DYN::ComponentInterface::updateFromModel","0.0399987","0","libdynawo_DataInterface.so.1","DYN::ComponentInterface::updateFromModel(bool)","DYNComponentInterface.cpp","0xf452"
"          DYN::StateVariable::isNeededForCriteriaCheck","0.0399987","0.0399987","libdynawo_DataInterface.so.1","DYN::StateVariable::isNeededForCriteriaCheck(void) const","DYNStateVariable.cpp","0x16080"
"         DYN::StateVariable::getVariable","0.00999179","0.00999179","libdynawo_DataInterface.so.1","DYN::StateVariable::getVariable(void) const","DYNStateVariable.cpp","0x16040"
"       DYN::DataInterfaceIIDM::checkCriteria","0.01","0","libdynawo_DataInterfaceIIDM.so.1","DYN::DataInterfaceIIDM::checkCriteria(double, bool)","DYNDataInterfaceIIDM.cpp","0x88730"
"        DYN::GeneratorCriteria::checkCriteria","0.01","0","libdynawo_DataInterface.so.1","DYN::GeneratorCriteria::checkCriteria(double, bool, boost::shared_ptr<timeline::Timeline> const&)","basic_string.h","0x10734"
"         DYN::GeneratorCriteria::checkCriteriaInLocalValueOrSumType","0.01","0","libdynawo_DataInterface.so.1","DYN::GeneratorCriteria::checkCriteriaInLocalValueOrSumType(std::shared_ptr<DYN::GeneratorInterface> const&, double, std::multimap<double, std::shared_ptr<DYN::GeneratorInterface>, std::less<double>, std::allocator<std::pair<double const, std::shared_ptr<DYN::GeneratorInterface>>>>&, std::multimap<double, std::unique_ptr<DYN::Criteria::FailingCriteria, std::default_delete<DYN::Criteria::FailingCriteria>>, std::less<double>, std::allocator<std::pair<double const, std::unique_ptr<DYN::Criteria::FailingCriteria, std::default_delete<DYN::Criteria::FailingCriteria>>>>>&, std::unordered_set<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>>, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>>>, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>>>, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>>>>&, bool&, double&, bool&)","DYNCriteria.cpp","0xfee0"
"          std::pair<double const, std::shared_ptr<DYN::GeneratorInterface>>::pair<double&, (bool)1>","0.01","0","libdynawo_DataInterface.so.1","std::pair<double const, std::shared_ptr<DYN::GeneratorInterface>>::pair<double&, (bool)1>(double&&&, std::shared_ptr<DYN::GeneratorInterface> const&)","stl_pair.h","0x189c6"
"           __gnu_cxx::__atomic_add_dispatch","0.01","0","libdynawo_DataInterface.so.1","__gnu_cxx::__atomic_add_dispatch(int*, int)","atomicity.h","0x189e3"
"            __gnu_cxx::__atomic_add","0.01","0.01","libdynawo_DataInterface.so.1","__gnu_cxx::__atomic_add(int volatile*, int)","atomicity.h","0x18c40"
"       DYN::ModelMulti::evalCalculatedVariables","0.00999449","0","libdynawo_ModelerCommon.so.1","DYN::ModelMulti::evalCalculatedVariables(double, std::vector<double, std::allocator<double>> const&, std::vector<double, std::allocator<double>> const&, std::vector<double, std::allocator<double>> const&)","DYNModelMulti.cpp","0x71b70"
"        DYN::ModelNetwork::evalCalculatedVars","0.00999449","0","DYNModelNetwork.so","DYN::ModelNetwork::evalCalculatedVars(void)","[Unknown]","0xb6a10"
"         DYN::ModelVoltageLevel::evalCalculatedVars","0.00999449","0","DYNModelNetwork.so","DYN::ModelVoltageLevel::evalCalculatedVars(void)","[Unknown]","0xdb300"
"          DYN::ModelLoad::evalCalculatedVars","0.00999449","0","DYNModelNetwork.so","DYN::ModelLoad::evalCalculatedVars(void)","[Unknown]","0x8e1e0"
"           DYN::ModelLoad::Q","0.00999449","0","DYNModelNetwork.so","DYN::ModelLoad::Q(double) const","[Unknown]","0x8df50"
"            DYN::pow_dynawo<double>","0.00999449","0","DYNModelNetwork.so","DYN::pow_dynawo<double>(double, double)","[Unknown]","0x91d30"
"             __pow","0.00999449","0.00999449","libm.so.6","__pow","w_pow_template.c","0x37e30"
